Pastorate Name,Pastorate Short Name,Church Name,Church Abode,Church Short Name,Area Name,Area ID,Fellowship Name,Fellowship ID,Fellowship Address,Family ID,Family Position No,Family Head Name,Family Respect,Family Initial,Family Mobile,Family Email,Family Address,Family Prayer Points,Member ID,Member Respect,Member Initial,Member Name,Member Relation,Sex,DOB,DOM,Working,Working Place,Baptised,Date of Baptism,Confirmed,Date of Confirmation,Death,Date of Death,Aadhar Number,Spouse Member ID
Tenkasi North Zion,TNZ,Tenkasi North Zion Church,Tenkasi,TNZC,East Area,TNZC-01,Bethel Fellowship,TNZC-01-F1,"23 Church Street, Tenkasi",TNZC-01-001,1,Murugesan Rajendran,Mr,M,9445123456,murugesan.r@email.com,"12 Gandhi Street, Tenkasi",Family blessing and children's studies,TNZC-01-001-01,Mr,M,Murugesan Rajendran,Family Head,M,15.06.1975,20.05.2000,Business,Own Shop,Yes,10.03.1990,Yes,25.12.1991,No,,456789123456,TNZC-01-001-02
Tenkasi North Zion,TNZ,Tenkasi North Zion Church,Tenkasi,TNZC,East Area,TNZC-01,Bethel Fellowship,TNZC-01-F1,"23 Church Street, Tenkasi",TNZC-01-001,1,Murugesan Rajendran,Mr,M,9445123456,murugesan.r@email.com,"12 Gandhi Street, Tenkasi",Family blessing and children's studies,TNZC-01-001-02,Mrs,L,Lakshmi Murugesan,Wife,F,20.08.1978,20.05.2000,Teacher,Govt School,Yes,15.04.1992,Yes,25.12.1993,No,,789123456789,TNZC-01-001-01
Tenkasi North Zion,TNZ,Tenkasi North Zion Church,Tenkasi,TNZC,East Area,TNZC-01,Bethel Fellowship,TNZC-01-F1,"23 Church Street, Tenkasi",TNZC-01-001,1,Murugesan Rajendran,Mr,M,9445123456,murugesan.r@email.com,"12 Gandhi Street, Tenkasi",Family blessing and children's studies,TNZC-01-001-03,Ms,K,Kavitha Murugesan,Daughter,F,12.03.2002,,Student,College,Yes,20.05.2012,Yes,15.12.2013,No,,891234567890,
Tenkasi North Zion,TNZ,Zion Prayer House,Duraisamypuram,ZPH,West Area,ZPH-01,Emmanuel Fellowship,ZPH-01-F1,"45 Main Road, Duraisamypuram",ZPH-01-001,1,Selvaraj Kumar,Mr,S,9876987654,selvaraj.k@email.com,"34 Temple Street, Duraisamypuram",Good health and prosperity,ZPH-01-001-01,Mr,S,Selvaraj Kumar,Family Head,M,10.04.1970,15.06.1995,Farmer,Own Land,Yes,05.05.1985,Yes,25.12.1986,No,,567891234567,ZPH-01-001-02
Tenkasi North Zion,TNZ,Zion Prayer House,Duraisamypuram,ZPH,West Area,ZPH-01,Emmanuel Fellowship,ZPH-01-F1,"45 Main Road, Duraisamypuram",ZPH-01-001,1,Selvaraj Kumar,Mr,S,9876987654,selvaraj.k@email.com,"34 Temple Street, Duraisamypuram",Good health and prosperity,ZPH-01-001-02,Mrs,P,Pushpa Selvaraj,Wife,F,15.07.1974,15.06.1995,Homemaker,,Yes,10.06.1988,Yes,25.12.1989,No,,678912345678,ZPH-01-001-01
Tenkasi North Zion,TNZ,Tenkasi North Zion Church,Tenkasi,TNZC,East Area,TNZC-01,Bethel Fellowship,TNZC-01-F2,"23 Church Street, Tenkasi",TNZC-01-002,2,Kannan Subramanian,Mr,K,9443567890,kannan.s@email.com,"78 Market Road, Tenkasi",Children's education,TNZC-01-002-01,Mr,K,Kannan Subramanian,Family Head,M,25.08.1980,12.12.2005,Teacher,Private School,Yes,15.09.1995,Yes,25.12.1996,No,,789123456780,TNZC-01-002-02
Tenkasi North Zion,TNZ,Tenkasi North Zion Church,Tenkasi,TNZC,East Area,TNZC-01,Bethel Fellowship,TNZC-01-F2,"23 Church Street, Tenkasi",TNZC-01-002,2,Kannan Subramanian,Mr,K,9443567890,kannan.s@email.com,"78 Market Road, Tenkasi",Children's education,TNZC-01-002-02,Mrs,R,Revathi Kannan,Wife,F,30.09.1985,12.12.2005,Nurse,Govt Hospital,Yes,20.10.1998,Yes,25.12.1999,No,,891234567801,TNZC-01-002-01
Tenkasi North Zion,TNZ,Tenkasi North Zion Church,Tenkasi,TNZC,East Area,TNZC-01,Bethel Fellowship,TNZC-01-F2,"23 Church Street, Tenkasi",TNZC-01-002,2,Kannan Subramanian,Mr,K,9443567890,kannan.s@email.com,"78 Market Road, Tenkasi",Children's education,TNZC-01-002-03,Mstr,A,Arun Kannan,Son,M,05.03.2008,,Student,School,Yes,15.05.2015,No,,No,,912345678012,
Tenkasi North Zion,TNZ,Zion Prayer House,Duraisamypuram,ZPH,West Area,ZPH-01,Emmanuel Fellowship,ZPH-01-F2,"45 Main Road, Duraisamypuram",ZPH-01-002,2,Palaniappan Ravi,Mr,P,9787654321,palani.r@email.com,"56 School Street, Duraisamypuram",Family peace,ZPH-01-002-01,Mr,P,Palaniappan Ravi,Family Head,M,18.11.1972,22.07.1998,Business,Own Shop,Yes,12.08.1987,Yes,25.12.1988,No,,234567890123,ZPH-01-002-02
Tenkasi North Zion,TNZ,Zion Prayer House,Duraisamypuram,ZPH,West Area,ZPH-01,Emmanuel Fellowship,ZPH-01-F2,"45 Main Road, Duraisamypuram",ZPH-01-002,2,Palaniappan Ravi,Mr,P,9787654321,palani.r@email.com,"56 School Street, Duraisamypuram",Family peace,ZPH-01-002-02,Mrs,V,Valli Palaniappan,Wife,F,25.12.1976,22.07.1998,Teacher,Primary School,Yes,18.09.1990,Yes,25.12.1991,No,,345678901234,ZPH-01-002-01
